"Driver Name","Phone Number","Email","Date/Time","Trip ID","Type","Base Fare","Distance","Time","Min Fare Supplement","Cancellation","Tip","Surge","Diamond Reward","Wait Time","Promotions","Total","Long Pickup Fee","Optional Insurance","Consecutive Trips Promotion","Share Adjustment","Quest Promotion","Fare Adjustment","Platinum Reward","Cleaning Repairs"
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 10:11 PM","887ce64e-b355-4985-9fe4-191ee9a312db","UberX","$0.30","$2.39","$1.19",NA,NA,NA,NA,"$0.22",NA,NA,"$4.10",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 9:47 PM","f4c7c1bd-5f02-4a22-82d9-30c31d7a3cdc","UberX","$0.30","$4.09","$2.09",NA,NA,"$3.00",NA,"$0.37",NA,NA,"$9.85",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 9:25 PM","3250633c-f35d-43f4-9c6e-9742b0a6c3fc","UberX","$0.30","$3.48","$1.29",NA,NA,NA,NA,"$0.29","$0.24",NA,"$5.60",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 14, 2019 6:38 PM","142f1438-7ede-4331-9760-00dbe244b660","UberX",NA,NA,NA,NA,NA,"$2.00",NA,NA,NA,NA,"$2.00",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 7:07 PM","9af0e345-87af-402b-8909-229675f6f1dc","UberX","$0.30","$6.11","$3.25",NA,NA,NA,NA,"$0.56",NA,NA,"$10.22",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 12:22 AM","fbcb81af-596d-455a-b778-7a96983a5d1a","UberX","$0.30","$8.55","$2.06",NA,NA,"$5.00",NA,"$0.64",NA,NA,"$16.55",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 14, 2019 11:03 PM","b37a3483-f8ab-436b-af8d-c6d1d47fda58","UberX",NA,NA,NA,NA,NA,"$1.00",NA,NA,NA,NA,"$1.00",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 7:53 PM","103e3811-e893-4f13-aa4d-0d26a9993335","UberX","$0.30","$13.25","$3.59",NA,NA,NA,NA,"$1.01",NA,NA,"$18.15",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 9:12 PM","89c342c8-f64f-4043-99b6-bd755c2d5204","UberX","$0.30","$0.75","$0.73","$0.85",NA,NA,NA,"$0.09","$0.08",NA,"$2.80",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 8:58 PM","fb32eee2-874a-4a2d-bbc2-398172ccd09f","UberX","$0.30","$12.42","$3.07",NA,NA,"$5.00",NA,"$0.93",NA,NA,"$21.72",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 7:36 PM","64767a7a-642b-46f1-a732-93633929cdac","UberX","$0.30","$1.94","$1.13",NA,NA,NA,NA,"$0.19",NA,NA,"$3.56",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 6:45 PM","6813690d-e905-49d5-b88f-34f6027ee57e","UberX","$0.30","$1.30","$0.83","$0.20",NA,NA,"$1.75","$0.13","$0.35",NA,"$4.86",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 10:28 PM","51dab9b3-05e9-44fe-9a7a-5b70cd0b05a7","UberX","$0.30","$1.10","$0.62","$0.61",NA,NA,NA,"$0.11","$0.01",NA,"$2.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 10:57 PM","c88c26e9-e170-4bcd-8d0f-f5e5f6128fdb","UberX","$0.30","$4.73","$1.93",NA,NA,NA,NA,"$0.40",NA,NA,"$7.36",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 12:21 AM","0ccc00ad-fc3a-4442-825c-505d5858f6ce","UberX","$0.30","$1.14","$0.54","$0.65",NA,"$2.00","$6.00","$0.10",NA,NA,"$10.73",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 10:18 PM","456c0d14-2eb5-4ee7-8b51-debcd1779cfa","UberX","$0.30","$1.43","$0.78","$0.12",NA,NA,NA,"$0.14","$0.03",NA,"$2.80",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 8:46 PM","01813ddb-b4b7-4079-bffd-543fb7d0cf6c","UberX","$0.30","$9.42","$2.93",NA,NA,NA,NA,"$0.74","$0.22",NA,"$13.61",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 10:39 PM","e67cf4e2-daa2-4001-848d-de50410143af","UberX","$0.30","$1.67","$0.94",NA,NA,"$5.00",NA,"$0.16",NA,NA,"$8.07",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 6:56 PM","3dcd7951-4ac5-430d-acb6-3ca9c749825f","UberX","$0.30","$1.83","$1.39",NA,NA,NA,NA,"$0.20","$0.07",NA,"$3.79",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 8:20 PM","8fa782cf-1e11-4030-b91f-df70895c126b","UberX","$0.30","$6.16","$2.08",NA,NA,NA,NA,"$0.50",NA,NA,"$9.04",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 8:38 PM","3e54eaae-375c-444d-897a-67aff6eb4755","UberX","$0.30","$1.53","$0.73","$0.07",NA,"$2.00",NA,"$0.14",NA,NA,"$4.77",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 9:29 PM","3ff8f9ca-ae02-4f90-b2bd-e61e5327982a","UberX","$0.30","$0.85","$1.22","$0.26",NA,"$3.00",NA,"$0.13","$0.45",NA,"$6.21",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 11:33 PM","27f3d6fb-d1e4-4cb7-9406-7ba093ab03a5","UberX","$0.30","$3.95","$1.54",NA,NA,NA,"$2.00","$0.33","$0.35",NA,"$8.47",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 8:44 PM","40f20766-44cb-4985-975f-cc950a918413","UberX","$0.30","$2.75","$1.21",NA,NA,NA,NA,"$0.24","$0.42",NA,"$4.92",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 10:54 PM","56700fcf-f051-4370-b4f6-95e20c5ec28c","UberX","$0.30","$4.40","$1.42",NA,NA,NA,NA,"$0.35",NA,NA,"$6.47",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 8:09 PM","698b0078-5fd4-4bc0-8175-e61781f110ea","UberX","$0.30","$4.24","$1.62",NA,NA,NA,NA,"$0.35",NA,NA,"$6.51",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 9:41 PM","29cefabb-9b2e-45bf-8fd5-b5bb400e7dd2","UberX","$0.30","$10.71","$3.10",NA,NA,NA,NA,"$0.83","$1.26",NA,"$16.20",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 10:39 PM","7cb7c5d3-573c-497c-bb0e-13214be370ba","UberX","$0.30","$1.65","$0.90",NA,NA,NA,NA,"$0.15","$0.20",NA,"$3.20",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 7:44 PM","16931b00-6937-4fc6-afb8-6bb097553d07","UberX","$0.30","$0.50","$0.65","$1.18",NA,"$2.00",NA,"$0.07","$0.37",NA,"$5.07",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 9:39 PM","a22da1c3-6004-4e56-926d-e8ee6825dd71","UberX",NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 9:18 PM","3dd26973-0553-4bb9-8baf-fff00c676a12","UberX","$0.30","$5.91","$2.12",NA,NA,NA,NA,"$0.48",NA,NA,"$8.81",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 9:25 PM","c7c58687-5afc-4443-a1ac-e516d465b85a","UberX","$0.30","$1.40","$0.85","$0.08",NA,NA,NA,"$0.14","$0.20",NA,"$2.97",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 11:21 PM","c5746432-06e2-4671-89de-bf0d7d8dd271","UberX","$0.30","$4.32","$1.93",NA,NA,"$2.00",NA,"$0.38","$0.98",NA,"$9.91",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 11:03 PM","74f57a41-7463-4a68-8ad5-59eb1ad5974a","UberX",NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 8:36 PM","e6bcfc5b-7278-4073-ab55-5efed53c3045","UberX",NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 7:41 PM","5abdc4c5-ae6f-42a9-9475-9f8a3304da30","UberX","$0.30","$4.55","$1.94",NA,NA,NA,NA,"$0.39",NA,NA,"$7.18",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 10:37 PM","24eb8ead-416f-4e7e-b3d2-a7a9c7c9a82a","UberX","$0.30","$3.27","$1.42",NA,NA,"$5.00",NA,"$0.28","$0.08",NA,"$10.35",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 10:13 PM","7de4870a-fd58-408a-8fac-f63abf446b82","UberX","$0.30","$0.83","$0.59","$0.90",NA,NA,NA,"$0.08",NA,NA,"$2.70",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 11:20 PM","72640fa7-0dd6-4e3e-a42f-b7bbf470d660","UberX","$0.30","$13.92","$3.29",NA,NA,NA,NA,"$1.04","$0.03",NA,"$18.58",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 6:24 PM","548ff62e-b393-413e-8595-07929edca58f","UberX","$0.30","$6.38","$2.48",NA,NA,NA,NA,"$0.53",NA,NA,"$9.69",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 11:50 PM","695dcd5e-9fe0-43f6-82aa-07b987d99c42","UberX","$0.30","$1.10","$0.81","$0.42",NA,NA,NA,"$0.11",NA,NA,"$2.74",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 7:36 PM","667e69a0-d846-40d7-80ba-01bedccdd3cb","UberX","$0.30","$3.47","$1.07",NA,NA,"$1.00","$3.00","$0.27",NA,NA,"$9.11",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 8:39 PM","08afa672-d694-47e1-8d46-de10a49d8405","UberX","$0.30","$1.09","$0.73","$0.51",NA,"$2.00",NA,"$0.11",NA,NA,"$4.74",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 8:16 PM","4f184127-f290-46fe-ada9-37bd043df6bf","UberX","$0.30","$9.23","$2.76",NA,NA,NA,NA,"$0.72",NA,NA,"$13.01",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 8:13 PM","b2c509c8-3c81-4016-870d-6dd0c65063a4","UberX","$0.30","$1.18","$0.77","$0.38",NA,NA,NA,"$0.12",NA,NA,"$2.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 10:02 PM","5c73e641-55c6-4d2c-8a8e-e403fb51857a","UberX","$0.30","$7.69","$2.73",NA,NA,NA,NA,"$0.62",NA,NA,"$11.34",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 11:10 PM","11e108dd-00ed-488b-81eb-e986c023db9f","UberX","$0.30","$4.65","$1.45",NA,NA,NA,NA,"$0.37",NA,NA,"$6.77",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 9:36 PM","2beeb46b-9394-4993-8b82-9c339ec66101","UberX","$0.30","$1.30","$0.82","$0.21",NA,NA,"$2.00","$0.13",NA,NA,"$4.76",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 7:11 PM","ecb34708-01e4-41b7-b3b1-7f2ad4ca531b","UberX","$0.30","$3.07","$1.38",NA,NA,NA,NA,"$0.27",NA,NA,"$5.02",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 9:46 PM","e2fdebb9-d129-4266-9661-6f3477bc7c6a","UberX","$0.30","$3.44","$1.60",NA,NA,NA,NA,"$0.30",NA,NA,"$5.64",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 7:04 PM","63a2620d-0750-4064-8416-2bed3d9740bb","UberX","$0.30","$2.81","$1.40",NA,NA,NA,"$1.75","$0.26",NA,NA,"$6.52",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 8:37 PM","7f7a7195-cb78-497e-9c40-42861432b9ac","UberX","$0.30","$6.68","$2.27",NA,NA,NA,"$3.00","$0.54",NA,NA,"$12.79",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 11:02 PM","8c191dc2-3106-4d6e-b6b0-eadf730ae9e6","UberX","$0.30","$0.78","$0.50","$1.04",NA,NA,"$2.25","$0.08",NA,NA,"$4.95",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 3, 2019 8:06 PM","dba5a841-c37e-4766-9503-73a4791971bf","UberX",NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 3, 2019 7:35 PM","0e12f8ac-8c3d-4829-9050-41e30808456e","UberX","$0.30","$4.28","$2.00",NA,NA,NA,NA,"$0.38",NA,NA,"$6.96",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 12:54 AM","ac8a2466-f11f-4057-9eef-cb2c2c78b0bd","UberX","$0.30","$1.74","$0.76",NA,NA,NA,NA,"$0.15",NA,NA,"$2.95",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 7:49 PM","c089a7c2-909a-425e-84f2-6964ae8d9c64","UberX","$0.30","$2.05","$0.92",NA,NA,NA,NA,"$0.18","$0.25",NA,"$3.70",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 6:55 PM","bcfbcea1-55d9-43c2-841d-d875aec3359d","UberX","$0.30","$1.33","$0.61","$0.39",NA,"$1.00",NA,"$0.11",NA,NA,"$3.74",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 6:37 PM","77ad3a54-7088-4984-8ad7-f38db7ca979d","UberX","$0.30","$11.12","$2.81",NA,NA,"$5.00","$3.00","$0.83",NA,NA,"$23.06",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 6:37 PM","d78f6640-3a3f-4393-8884-2f8df34adc5a","UberX","$0.30","$3.34","$1.57",NA,NA,"$2.00","$1.25","$0.29","$0.42",NA,"$9.17",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 11:25 PM","bbdd3faa-262e-47d1-b642-5e5b6efccb63","UberX","$0.30","$1.23","$1.22",NA,NA,"$5.00","$3.00","$0.15",NA,NA,"$10.90",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 9:39 PM","02fecc6f-ecd3-4560-860e-4a02c1e68561","UberX","$0.30","$1.52","$0.88",NA,NA,"$2.00","$4.25","$0.14",NA,NA,"$9.09",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 10:22 PM","813d223e-62ed-418c-b28c-cece50c2de20","UberX","$0.30","$3.84","$1.64",NA,NA,NA,NA,"$0.33",NA,NA,"$6.11",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 6:41 PM","829085d8-2b44-42f1-a737-22d98d99354f","UberX","$0.30","$3.38","$2.11",NA,NA,NA,NA,"$0.33",NA,NA,"$6.12",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 3, 2019 8:18 PM","d98ab3b0-9da3-4744-83b1-1c93065b9d3e","UberX","$0.30","$6.47","$2.14",NA,NA,NA,NA,"$0.52",NA,NA,"$9.43",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 10:16 PM","c38cf6f0-595d-454e-8ec4-0aee268dcb4d","UberX","$0.30","$2.51","$1.23",NA,NA,NA,NA,"$0.22",NA,NA,"$4.26",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 8:55 PM","39fa2444-283d-41da-b4be-b7734808af72","UberX","$0.30","$2.30","$1.27",NA,NA,NA,NA,"$0.22",NA,NA,"$4.09",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 8:00 PM","c59e9b75-7071-42ab-8b18-3cb1da0a344c","UberX","$0.30","$1.52","$0.88",NA,NA,NA,NA,"$0.14",NA,NA,"$2.84",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 4, 2019 10:47 PM","eea3549c-b8da-4871-8bf6-154acab14f00","UberX","$0.30","$11.12","$3.13",NA,NA,"$3.00",NA,"$0.86","$0.09",NA,"$18.50",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 8:08 PM","b3d90904-a587-4e7a-bb2d-8cc8f7e3f3eb","UberX","$0.30","$1.10","$0.75","$0.47",NA,"$2.00",NA,"$0.11",NA,NA,"$4.73",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 12:28 AM","882baa5a-20c2-4f16-bd23-ef181238c956","UberX",NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,"$3.75",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 3, 2019 9:03 PM","fcf66ed3-2f16-4f18-9a14-50c6c80379fa","UberX","$0.30","$6.23","$1.69",NA,NA,NA,NA,"$0.47",NA,NA,"$8.69",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 7:12 PM","eca02483-ec49-4221-ad90-da638eec7cdf","UberX","$0.30","$1.70","$0.83",NA,NA,NA,"$3.25","$0.15","$0.48",NA,"$6.71",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 8:23 PM","7b79bdaa-66c1-46e2-8393-d9384517c957","UberX","$0.30","$2.84","$1.18",NA,NA,NA,NA,"$0.24",NA,NA,"$4.56",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 7, 2019 9:13 PM","da1f768f-8d45-43c2-8ca8-1e531cabeaa2","UberX","$0.30","$3.02","$1.39",NA,NA,NA,NA,"$0.26","$0.84",NA,"$5.81",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 11:35 PM","470dc18f-e901-4ef5-8ea0-e06d060f98a2","UberX","$0.30","$6.91","$2.60",NA,NA,NA,"$3.25","$0.57","$0.02",NA,"$13.65",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 6, 2019 8:51 PM","6d94ca07-9274-4fdb-a7bb-ab753597ab4d","UberX","$0.30","$4.26","$2.05",NA,NA,NA,"$3.00","$0.38",NA,NA,"$9.99",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 3, 2019 6:54 PM","790181b5-d32c-467d-b977-09003896a399","UberX","$0.30","$0.50","$0.57","$1.26",NA,"$2.00",NA,"$0.07",NA,NA,"$4.70",NA,NA,NA,NA,NA,NA,NA,NA
